Inventory Report
Generated by PlaSystem
Total Different Products: 15

ID,Name,Brand,Size,Type,Price,Quantity,Restock Value,Low Stock
1,HB (Pack),HappiBee,8x11,Plastic,22.0,83,50,No
2,Plastic Cup,Generic,7oz,Plastic,18.0,40,20,No
3,WH (Pack),White Horse,4x12,Plastic,22.0,100,80,No
4,Buffalo (Rim),Buffalo,Large,Plastic,90.0,15,25,Yes
5,Spoons (Pack),Generic,Fixed,Plastic,15.0,35,70,Yes
6,Calypso (Pack),Calypso,8x11,Plastic,12.0,52,60,Yes
7,Styro Spag,Generic,Medium,Styrofoam,125.0,35,66,Yes
8,Soy Sauce,Generic,1L,Miscellaneous,89.0,40,55,Yes
9,Vinegar,Generic,1L,Miscellaneous,116.0,38,40,Yes
10,Jack & Jill Yellow Jar,Jack & Jill,Fixed,Plastic,165.0,18,15,No
11,Mickey Sando Bag (Pack),Mickey,Tiny,Plastic,10.0,100,70,No
12,Buffalo (Pack),Buffalo,Mini,Plastic,8.0,55,60,Yes
13,Buffalo (Rim),Buffalo,Tiny,Plastic,96.0,18,20,Yes
38,testProd,testProd,testProd,testProd,234.69,20,30,Yes
43,testFin,testFin,testFin,testFin,56.0,8,10,Yes
