Restock Report
Generated by PlaSystem
Total Different Restocks: 18

Restock ID,Date,Time,Product Name,Brand,Size,Type,Price,Restocked Quantity
1,2025-04-22,03:57:42,testtrans,testtrans,testtrans,testtrans,45.58,10
3,2025-04-22,04:22:56,testProd,testProd,testProd,testProd,56.45,20
4,2025-04-22,04:25:12,testProd,testProd,testProd,testProd,56.45,3
5,2025-04-22,04:27:13,testProd,testProd,testProd,testProd,56.45,5
6,2025-04-22,04:28:48,Spoons (Pack),Generic,Fixed,Plastic,15.0,4
7,2025-04-22,04:28:48,Buffalo (Pack),Buffalo,Mini,Plastic,8.0,20
8,2025-04-22,04:28:48,testProd,testProd,testProd,testProd,56.45,4
9,2025-04-22,04:39:25,Spoons (Pack),Generic,Fixed,Plastic,15.0,5
9,2025-04-22,04:39:25,Soy Sauce,Generic,1L,Miscellaneous,89.0,5
9,2025-04-22,04:39:25,Buffalo (Rim),Buffalo,Tiny,Plastic,96.0,4
9,2025-04-22,04:39:25,testProd,testProd,testProd,testProd,56.45,5
10,2025-04-22,04:42:06,Buffalo (Pack),Buffalo,Mini,Plastic,8.0,5
10,2025-04-22,04:42:06,testProd,testProd,testProd,testProd,56.45,2
11,2025-04-22,04:45:48,Buffalo (Pack),Buffalo,Mini,Plastic,8.0,1
12,2025-04-22,04:48:20,Spoons (Pack),Generic,Fixed,Plastic,15.0,1
12,2025-04-22,04:48:20,Calypso (Pack),Calypso,8x11,Plastic,12.0,2
12,2025-04-22,04:48:20,Vinegar,Generic,1L,Miscellaneous,116.0,5
12,2025-04-22,04:48:20,Buffalo (Pack),Buffalo,Mini,Plastic,8.0,2
13,2025-04-22,04:48:52,testProd,testProd,testProd,testProd,56.45,2
15,2025-04-25,16:46:35,Buffalo (Pack),Buffalo,Mini,Plastic,8.0,1
15,2025-04-25,16:46:35,Buffalo (Rim),Buffalo,Tiny,Plastic,96.0,3
15,2025-04-25,16:46:35,testProd,testProd,testProd,testProd,234.69,2
16,2025-04-25,16:48:35,Buffalo (Pack),Buffalo,Mini,Plastic,8.0,1
16,2025-04-25,16:48:35,Buffalo (Rim),Buffalo,Tiny,Plastic,96.0,2
16,2025-04-25,16:48:35,testProd,testProd,testProd,testProd,234.69,3
20,2025-04-25,17:06:33,Soy Sauce,Generic,1L,Miscellaneous,89.0,5
20,2025-04-25,17:06:33,Vinegar,Generic,1L,Miscellaneous,116.0,3
20,2025-04-25,17:06:33,testProd,testProd,testProd,testProd,234.69,2
23,2025-04-26,01:14:39,testProd,testProd,testProd,testProd,234.69,3
23,2025-04-26,01:14:39,testfin,testfin,testfin,testfin,56.0,2
24,2025-05-01,02:54:14,Soy Sauce,Generic,1L,Miscellaneous,89.0,5
25,2025-05-01,02:54:34,Styro Spag,Generic,Medium,Styrofoam,125.0,4
