Transaction Report
Generated by PlaSystem
Total Different Transactions: 20

Transaction ID,Date,Time,Total Amount,Payment Amount,Change Amount,Product Name,Brand,Size,Type,Buy Quantity,Unit Price,Total Price
5,2025-04-21,04:32:33,15.0,20.0,5.0,Spoons (Pack),Generic,Fixed,Plastic,1,15.0,15.0
8,2025-04-21,04:51:45,12.0,13.0,1.0,Calypso (Pack),Calypso,8x11,Plastic,1,12.0,12.0
9,2025-04-21,04:52:31,15.0,15.0,0.0,Spoons (Pack),Generic,Fixed,Plastic,1,15.0,15.0
10,2025-04-21,04:54:56,379.16,400.75,21.59,testtrans,testtrans,testtrans,testtrans,2,45.58,91.16
10,2025-04-21,04:54:56,379.16,400.75,21.59,Buffalo (Rim),Buffalo,Tiny,Plastic,3,96.0,288.0
11,2025-04-21,22:43:51,379.16,400.75,21.59,testtrans,testtrans,testtrans,testtrans,2,45.58,91.16
11,2025-04-21,22:43:51,379.16,400.75,21.59,Buffalo (Rim),Buffalo,Tiny,Plastic,3,96.0,288.0
12,2025-04-22,02:46:10,417.8,450.0,32.2,testnew,testnew,testnew,testnew,4,56.45,225.8
12,2025-04-22,02:46:10,417.8,450.0,32.2,Buffalo (Rim),Buffalo,Tiny,Plastic,2,96.0,192.0
14,2025-04-22,04:27:47,564.5,600.0,35.5,testProd,testProd,testProd,testProd,10,56.45,564.5
15,2025-04-22,04:30:23,306.0,306.0,0.0,Buffalo (Rim),Buffalo,Large,Plastic,1,90.0,90.0
15,2025-04-22,04:30:23,306.0,306.0,0.0,Calypso (Pack),Calypso,8x11,Plastic,2,12.0,24.0
15,2025-04-22,04:30:23,306.0,306.0,0.0,Buffalo (Rim),Buffalo,Tiny,Plastic,2,96.0,192.0
16,2025-04-22,04:58:47,6765.0,7000.0,235.0,testDel,testDel,testDel,testDel,123,55.0,6765.0
17,2025-04-22,05:01:45,1173.4,1200.0,26.6,testProd,testProd,testProd,testProd,5,234.68,1173.4
18,2025-04-22,23:54:43,770.04,775.0,4.96,testProd,testProd,testProd,testProd,3,234.68,704.04
18,2025-04-22,23:54:43,770.04,775.0,4.96,HB (Pack),HappiBee,8x11,Plastic,1,22.0,22.0
18,2025-04-22,23:54:43,770.04,775.0,4.96,WH (Pack),White Horse,4x12,Plastic,2,22.0,44.0
19,2025-04-23,00:11:40,15.0,15.0,0.0,Spoons (Pack),Generic,Fixed,Plastic,1,15.0,15.0
20,2025-04-25,03:00:19,704.04,800.0,95.96,testProd,testProd,testProd,testProd,3,234.68,704.04
22,2025-04-25,16:50:54,125.0,125.0,0.0,Styro Spag,Generic,Medium,Styrofoam,1,125.0,125.0
25,2025-04-25,17:28:54,469.38,500.0,30.62,testProd,testProd,testProd,testProd,2,234.69,469.38
26,2025-04-25,17:40:04,1160.07,1200.0,39.93,Calypso (Pack),Calypso,8x11,Plastic,3,12.0,36.0
26,2025-04-25,17:40:04,1160.07,1200.0,39.93,Jack & Jill Yellow Jar,Jack & Jill,Fixed,Plastic,2,165.0,330.0
26,2025-04-25,17:40:04,1160.07,1200.0,39.93,testProd,testProd,testProd,testProd,3,234.69,704.07
26,2025-04-25,17:40:04,1160.07,1200.0,39.93,Plastic Cup,Generic,7oz,Plastic,5,18.0,90.0
27,2025-04-26,01:12:24,168.0,180.0,12.0,testfin,testfin,testfin,testfin,3,56.0,168.0
28,2025-05-01,02:54:00,469.38,500.0,30.62,testProd,testProd,testProd,testProd,2,234.69,469.38
29,2025-05-01,02:58:21,56.0,60.0,4.0,testFin,testFin,testFin,testFin,1,56.0,56.0
30,2025-05-01,03:15:18,508.0,510.0,2.0,Buffalo (Pack),Buffalo,Mini,Plastic,5,8.0,40.0
30,2025-05-01,03:15:18,508.0,510.0,2.0,Buffalo (Rim),Buffalo,Tiny,Plastic,3,96.0,288.0
30,2025-05-01,03:15:18,508.0,510.0,2.0,Plastic Cup,Generic,7oz,Plastic,10,18.0,180.0
